video_file	gloss
63190	book
63190	book
63190	drink
63190	drink
63190	drink
63190	drink
63190	drink
63190	drink
63190	drink
63190	computer
63190	computer
63190	computer
63190	computer
63190	computer
63190	computer
63190	computer
63190	before
63190	before
63190	before
63190	before
63190	before
63190	before
63190	before
63190	chair
63190	chair
63190	chair
63190	go
63190	go
63190	go
63190	go
63190	go
63190	go
63190	go
63190	clothes
63190	who
63190	who
63190	who
63190	who
63190	who
63190	who
63190	who
63190	candy
63190	candy
63190	candy
63190	candy
63190	candy
63190	candy
63190	candy
63190	candy
63190	candy
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	cousin
63190	deaf
63190	deaf
63190	deaf
63190	deaf
63190	deaf
63190	deaf
63190	deaf
63190	fine
63190	fine
63190	fine
63190	fine
63190	help
63190	help
63190	help
63190	help
63190	help
63190	no
63190	no
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	thin
63190	walk
63190	walk
63190	year
63190	year
63190	year
63190	year
63190	year
63190	year
63190	year
63190	yes
63190	yes
63190	yes
63190	yes
63190	yes
63190	yes
63190	yes
63190	yes
63190	all
63190	black
63190	black
63190	black
63190	black
63190	black
63190	black
63190	cool
63190	cool
63190	cool
63190	cool
63190	cool
63190	finish
63190	finish
63190	finish
63190	hot
63190	hot
63190	hot
63190	hot
63190	hot
63190	hot
63190	like
63190	like
63190	like
63190	many
63190	many
63190	many
63190	many
63190	many
63190	many
63190	many
63190	many
63190	mother
63190	mother
63190	mother
63190	mother
63190	mother
63190	mother
63190	mother
63190	mother
63190	now
63190	now
63190	now
63190	now
63190	orange
63190	orange
63190	orange
63190	orange
63190	orange
63190	table
63190	thanksgiving
63190	thanksgiving
63190	thanksgiving
63190	thanksgiving
63190	thanksgiving
63190	what
63190	what
63190	what
63190	what
63190	what
63190	what
63190	what
63190	woman
63190	woman
63190	woman
63190	woman
63190	woman
63190	woman
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	bed
63190	blue
63190	blue
63190	blue
63190	blue
63190	blue
63190	blue
63190	bowling
63190	bowling
63190	bowling
63190	bowling
63190	bowling
63190	can
63190	can
63190	can
63190	can
63190	can
63190	can
63190	dog
63190	dog
63190	dog
63190	dog
63190	dog
63190	dog
63190	dog
63190	family
63190	family
63190	family
63190	family
63190	family
63190	family
63190	family
63190	fish
63190	fish
63190	fish
63190	fish
63190	fish
63190	graduate
63190	graduate
63190	graduate
63190	graduate
63190	graduate
63190	graduate
63190	graduate
63190	graduate
63190	hat
63190	hat
63190	hat
63190	hat
63190	hat
63190	hat
63190	hearing
63190	hearing
63190	kiss
63190	kiss
63190	kiss
63190	kiss
63190	kiss
63190	kiss
63190	language
63190	language
63190	language
63190	language
63190	later
63190	later
63190	man
63190	man
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	shirt
63190	study
63190	study
63190	study
63190	study
63190	study
63190	tall
63190	tall
63190	tall
63190	tall
63190	tall
63190	white
63190	white
63190	white
63190	white
63190	white
63190	white
63190	white
63190	white
63190	wrong
63190	wrong
63190	wrong
63190	wrong
63190	wrong
63190	wrong
63190	accident
63190	accident
63190	accident
63190	apple
63190	apple
63190	apple
63190	bird
63190	bird
63190	bird
63190	change
63190	change
63190	change
63190	change
63190	change
63190	change
63190	change
63190	color
63190	color
63190	color
63190	corn
63190	corn
63190	corn
63190	corn
63190	corn
63190	corn
63190	corn
63190	cow
63190	cow
63190	cow
63190	cow
63190	dark
63190	dark
63190	dark
63190	dark
63190	dark
63190	dark
63190	dark
63190	dark
63190	doctor
63190	doctor
63190	doctor
63190	doctor
63190	eat
63190	eat
63190	eat
63190	enjoy
63190	forget
63190	forget
63190	forget
63190	forget
63190	forget
63190	give
63190	give
63190	give
63190	give
63190	give
63190	last
63190	last
63190	last
63190	last
63190	meet
63190	meet
63190	meet
63190	meet
63190	pink
63190	pink
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	pizza
63190	play
63190	play
63190	play
63190	play
63190	play
63190	school
63190	school
63190	school
63190	school
63190	school
63190	secretary
63190	secretary
63190	secretary
63190	secretary
63190	secretary
63190	secretary
63190	secretary
63190	short
63190	time
63190	time
63190	time
63190	time
63190	time
63190	want
63190	want
63190	want
63190	want
63190	want
63190	want
63190	want
63190	work
63190	work
63190	work
63190	work
63190	africa
63190	africa
63190	africa
63190	africa
63190	africa
63190	africa
63190	basketball
63190	basketball
63190	basketball
63190	basketball
63190	basketball
63190	basketball
63190	birthday
63190	brown
63190	brown
63190	brown
63190	brown
63190	brown
63190	brown
63190	brown
63190	but
63190	cheat
63190	cheat
63190	cheat
63190	cheat
63190	cheat
63190	city
63190	city
63190	city
63190	city
63190	city
63190	city
63190	city
63190	cook
63190	cook
63190	cook
63190	decide
63190	decide
63190	decide
63190	decide
63190	decide
63190	full
63190	full
63190	full
63190	how
63190	how
63190	how
63190	how
63190	how
63190	how
63190	jacket
63190	jacket
63190	jacket
63190	jacket
63190	jacket
63190	letter
63190	letter
63190	letter
63190	letter
63190	letter
63190	letter
63190	medicine
63190	medicine
63190	medicine
63190	medicine
63190	medicine
63190	need
63190	need
63190	pull
63190	pull
63190	pull
63190	pull
63190	pull
63190	pull
63190	pull
63190	pull
63190	purple
63190	purple
63190	purple
63190	purple
63190	right
63190	right
63190	same
63190	same
63190	same
63190	same
63190	same
63190	same
63190	son
63190	son
63190	son
63190	son
63190	thursday
63190	thursday
63190	thursday
63190	thursday
63190	visit
63190	visit
63190	visit
63190	wait
63190	wait
63190	wait
63190	wait
63190	wait
63190	water
63190	water
63190	water
63190	wife
63190	wife
63190	wife
63190	wife
63190	backpack
63190	backpack
63190	bar
63190	bar
63190	bar
63190	bar
63190	brother
63190	cat
63190	cat
63190	cat
63190	cat
63190	cat
63190	cat
63190	cat
63190	check
63190	class
63190	class
63190	class
63190	cry
63190	cry
63190	cry
63190	cry
63190	different
63190	door
63190	door
63190	door
63190	green
63190	green
63190	green
63190	green
63190	green
63190	hair
63190	hair
63190	hair
63190	hair
63190	hair
63190	hair
63190	have
63190	have
63190	have
63190	headache
63190	headache
63190	headache
63190	headache
63190	headache
63190	headache
63190	headache
63190	inform
63190	inform
63190	inform
63190	inform
63190	inform
63190	inform
63190	inform
63190	inform
63190	knife
63190	laugh
63190	laugh
63190	laugh
63190	learn
63190	learn
63190	learn
63190	learn
63190	learn
63190	learn
63190	movie
63190	movie
63190	movie
63190	rabbit
63190	rabbit
63190	rabbit
63190	rabbit
63190	rabbit
63190	read
63190	read
63190	read
63190	read
63190	red
63190	red
63190	red
63190	red
63190	red
63190	red
63190	room
63190	room
63190	room
63190	room
63190	run
63190	run
63190	run
63190	run
63190	show
63190	sick
63190	sick
63190	sick
63190	sick
63190	sick
63190	sick
63190	snow
63190	snow
63190	snow
63190	snow
63190	snow
63190	take
63190	take
63190	take
63190	tea
63190	tea
63190	teacher
63190	week
63190	week
63190	week
63190	week
63190	week
63190	week
63190	week
63190	why
63190	why
63190	with
63190	with
63190	with
63190	write
63190	write
63190	write
63190	yesterday
63190	yesterday
63190	yesterday
63190	again
63190	again
63190	bad
63190	bad
63190	bad
63190	bad
63190	bad
63190	ball
63190	ball
63190	ball
63190	ball
63190	bathroom
63190	blanket
63190	buy
63190	buy
63190	buy
63190	buy
63190	buy
63190	call
63190	call
63190	call
63190	call
63190	call
63190	call
63190	call
63190	coffee
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	cold
63190	college
63190	college
63190	college
63190	copy
63190	copy
63190	copy
63190	cute
63190	cute
63190	daughter
63190	example
63190	example
63190	example
63190	example
63190	example
63190	far
63190	far
63190	far
63190	first
63190	first
63190	first
63190	friend
63190	friend
63190	good
63190	good
63190	good
63190	good
63190	good
63190	good
63190	good
63190	good
63190	good
63190	home
63190	home
63190	know
63190	know
63190	know
63190	know
63190	late
63190	late
63190	late
63190	late
63190	late
63190	leave
63190	leave
63190	leave
63190	leave
63190	leave
63190	list
63190	list
63190	lose
63190	lose
63190	lose
63190	lose
63190	lose
63190	name
63190	name
63190	name
63190	name
63190	name
63190	old
63190	old
63190	old
63190	old
63190	old
63190	person
63190	person
63190	person
63190	person
63190	person
63190	police
63190	police
63190	problem
63190	problem
63190	problem
63190	problem
63190	problem
63190	problem
63190	problem
63190	remember
63190	remember
63190	remember
63190	remember
63190	remember
63190	share
63190	soon
63190	soon
63190	soon
63190	stay
63190	stay
63190	sunday
63190	sunday
63190	sunday
63190	sunday
63190	sunday
63190	test
63190	tired
63190	tired
63190	tired
63190	tired
63190	tired
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	trade
63190	travel
63190	travel
63190	travel
63190	travel
63190	window
63190	window
63190	you
63190	you
63190	you
63190	you
63190	you
63190	you
63190	about
63190	about
63190	about
63190	approve
63190	approve
63190	approve
63190	approve
63190	approve
63190	arrive
63190	arrive
63190	arrive
63190	balance
63190	balance
63190	banana
63190	banana
63190	banana
63190	beard
63190	because
63190	because
63190	because
63190	because
63190	boy
63190	boy
63190	boy
63190	boy
63190	business
63190	business
63190	business
63190	business
63190	careful
63190	careful
63190	careful
63190	careful
63190	careful
63190	careful
63190	careful
63190	center
63190	center
63190	center
63190	center
63190	chat
63190	chat
63190	chat
63190	chat
63190	chat
63190	chat
63190	chat
63190	chat
63190	children
63190	children
63190	children
63190	children
63190	christmas
63190	christmas
63190	christmas
63190	close
63190	close
63190	close
63190	close
63190	close
63190	convince
63190	convince
63190	convince
63190	convince
63190	convince
63190	convince
63190	convince
63190	country
63190	country
63190	country
63190	country
63190	country
63190	country
63190	crash
63190	crash
63190	crash
63190	crash
63190	crash
63190	crash
63190	day
63190	day
63190	dress
63190	dress
63190	dress
63190	drive
63190	drop
63190	drop
63190	drop
63190	fat
63190	fat
63190	fat
63190	fat
63190	fat
63190	fat
63190	fat
63190	feel
63190	feel
63190	feel
63190	feel
63190	feel
63190	football
63190	future
63190	future
63190	future
63190	future
63190	game
63190	game
63190	game
63190	girl
63190	girl
63190	girl
63190	girl
63190	girl
63190	girl
63190	government
63190	government
63190	government
63190	government
63190	government
63190	government
63190	government
63190	hear
63190	hear
63190	hear
63190	hear
63190	hear
63190	here
63190	hope
63190	hope
63190	hope
63190	house
63190	house
63190	house
63190	house
63190	house
63190	husband
63190	husband
63190	husband
63190	husband
63190	husband
63190	interest
63190	interest
63190	interest
63190	join
63190	join
63190	join
63190	join
63190	join
63190	light
63190	light
63190	live
63190	live
63190	make
63190	make
63190	make
63190	mean
63190	mean
63190	mean
63190	more
63190	more
63190	more
63190	more
63190	more
63190	most
63190	music
63190	music
